sprint_number,start_date,end_date,team_size,committed_story_points,completed_story_points,planned_leave_days_team,unplanned_leave_days_team,major_impediment,backlog_well_refined_percentage,sprint_duration_days,available_person_days,lagged_velocity
1,2023-01-01,2023-01-14,6,250,220,9,0,0,72,10,81,529
2,2023-01-15,2023-01-28,6,260,225,11,0,0,75,10,79,69
3,2023-01-29,2023-02-11,6,265,235,7,0,0,71,10,83,580
4,2023-02-12,2023-02-25,6,270,250,0,0,0,92,10,90,609
5,2023-02-26,2023-03-11,6,275,245,15,0,0,87,10,75,517
6,2023-03-12,2023-03-25,6,280,260,7,0,0,75,10,83,536
7,2023-03-26,2023-04-08,6,285,265,7,0,0,94,10,83,569
8,2023-04-09,2023-04-22,6,290,270,11,0,0,79,10,79,601
9,2023-04-23,2023-05-06,6,295,250,16,0,0,96,10,74,542
10,2023-05-07,2023-05-20,9,400,350,3,0,0,99,10,87,556
11,2023-05-21,2023-06-03,9,410,360,1,0,0,81,10,89,595
12,2023-06-04,2023-06-17,9,380,340,17,0,0,89,10,73,479
13,2023-06-18,2023-07-01,9,420,380,5,0,0,84,10,85,479
14,2023-07-02,2023-07-15,9,430,390,7,0,0,96,10,83,524
15,2023-07-16,2023-07-29,9,440,400,13,0,0,94,10,77,539
16,2023-07-30,2023-08-12,9,450,410,6,0,0,84,10,84,565
17,2023-08-13,2023-08-26,9,460,420,14,0,0,85,10,76,578
18,2023-08-27,2023-09-09,9,470,440,10,0,0,95,10,80,521
19,2023-09-10,2023-09-23,9,480,450,0,0,0,86,10,90,547
20,2023-09-24,2023-10-07,9,490,460,3,0,0,75,10,87,577
21,2023-10-08,2023-10-21,3,130,110,3,0,0,71,10,67,621
22,2023-10-22,2023-11-04,3,135,115,2,0,0,78,10,68,58
23,2023-11-05,2023-11-18,3,125,110,11,0,0,92,10,59,58
24,2023-11-19,2023-12-02,3,130,115,11,0,0,98,10,59,63
25,2023-12-03,2023-12-16,3,140,120,2,0,0,93,10,68,63
26,2023-12-17,2023-12-30,3,130,115,14,0,0,71,10,56,64
27,2023-12-31,2024-01-13,3,140,125,11,0,0,89,10,59,66
28,2024-01-14,2024-01-27,3,150,130,12,0,0,87,10,58,67
29,2024-01-28,2024-02-10,3,160,140,3,0,0,77,10,67,70
30,2024-02-11,2024-02-24,3,165,145,5,0,0,91,10,65,71
31,2024-02-25,2024-03-09,3,170,155,7,0,0,85,10,63,73
32,2024-03-10,2024-03-23,5,280,250,3,0,0,94,10,47,103
33,2024-03-24,2024-04-06,5,270,240,1,0,0,76,10,49,124
34,2024-04-07,2024-04-20,5,240,210,8,0,0,72,10,42,113
35,2024-04-21,2024-05-04,5,230,205,8,0,0,93,10,42,150
36,2024-05-05,2024-05-18,5,225,200,6,0,0,72,10,44,152
37,2024-05-19,2024-06-01,5,235,210,1,0,0,81,10,49,162
38,2024-06-02,2024-06-15,5,230,205,5,0,0,79,10,45,164
39,2024-06-16,2024-06-29,5,225,200,9,0,0,86,10,41,169
40,2024-06-30,2024-07-13,5,235,210,5,0,0,81,10,45,173
41,2024-07-14,2024-07-27,5,230,205,7,0,0,92,10,43,179
42,2024-07-28,2024-08-10,5,225,200,1,0,0,79,10,49,182
43,2024-08-11,2024-08-24,5,230,205,6,0,0,96,10,44,174
44,2024-08-25,2024-09-07,5,225,200,7,0,0,89,10,43,178
45,2024-09-08,2024-09-21,5,230,205,3,0,0,72,10,47,179
46,2024-09-22,2024-10-05,5,225,200,10,0,0,95,10,40,192
47,2024-10-06,2024-10-19,5,230,205,1,0,0,82,10,49,193
48,2024-10-20,2024-11-02,5,225,200,9,0,0,79,10,41,196
49,2024-11-03,2024-11-16,5,230,205,3,0,0,81,10,47,208
50,2024-11-17,2024-11-30,5,225,200,8,0,0,82,10,42,183
51,2024-12-01,2024-12-14,5,230,205,0,0,0,98,10,50,199
52,2024-12-15,2024-12-28,5,225,200,2,0,0,79,10,48,180
53,2024-12-29,2025-01-11,5,230,205,1,0,0,99,10,49,189
54,2025-01-12,2025-01-25,5,225,200,2,0,0,85,10,48,180
55,2025-01-26,2025-02-08,5,220,195,3,0,0,80,10,46,178
56,2025-02-09,2025-02-22,5,225,200,4,0,0,78,10,45,175
57,2025-02-23,2025-03-07,5,220,195,2,0,0,82,10,44,150
58,2025-03-08,2025-03-21,5,225,200,3,0,0,80,10,43,140
59,2025-03-22,2025-04-04,5,230,201,5,0,0,75,10,42,130
60,2025-04-05,2025-04-18,5,235,202,2,0,0,77,10,41,120
61,2025-04-19,2025-05-01,5,225,203,0,0,0,77,10,41,120
